## 1.1.1
## assembly	: /home/users/sc1830/testing/contigs.fasta
## coverage	 bam0 - /home/users/sc1830/testing/sorted_mapped.bam
## taxonomy	 tax0 - /home/users/sc1830/testing/contigs.fasta.vs.nt.cul5.1e5.megablast.out
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	superkingdom.t.6%s	superkingdom.s.7%s	superkingdom.c.8	phylum.t.9%s	phylum.s.10%s	phylum.c.11	order.t.12%s	order.s.13%s	order.c.14	family.t.15%s	family.s.16%s	family.c.17	genus.t.18%s	genus.s.19%s	genus.c.20	species.t.21%s	species.s.22%s	species.c.23
NODE_63_length_822_cov_173.998561	822	0.5389	0	424.1207	undef	7595.0	0	Pseudomonadota	7595.0	0	Enterobacterales	7595.0	0	Enterobacteriaceae	7595.0	0	Escherichia	6076.0	1	Escherichia coli	6076.0	1
NODE_64_length_822_cov_1.204317	822	0.6788	0	2.0101	undef	7595.0	0	Pseudomonadota	7595.0	0	Pseudomonadales	7595.0	0	Pseudomonadaceae	7595.0	0	Pseudomonas	7595.0	0	Pseudomonas aeruginosa	7595.0	0
NODE_65_length_817_cov_0.694203	817	0.6965	0	2.0224	undef	7570.0	0	Pseudomonadota	7570.0	0	Pseudomonadales	7570.0	0	Pseudomonadaceae	7570.0	0	Pseudomonas	7570.0	0	Pseudomonas aeruginosa	7570.0	0
NODE_66_length_812_cov_241.518248	812	0.5702	0	507.2479	undef	7500.0	0	Pseudomonadota	7500.0	0	Enterobacterales	7500.0	0	Enterobacteriaceae	7500.0	0	Escherichia	7500.0	0	Escherichia coli	7500.0	0
NODE_67_length_811_cov_0.906433	811	0.746	0	1.4552	undef	7490.0	0	Pseudomonadota	7490.0	0	Pseudomonadales	7490.0	0	Pseudomonadaceae	7490.0	0	Pseudomonas	7490.0	0	Pseudomonas aeruginosa	7490.0	0
NODE_68_length_805_cov_0.716814	805	0.7242	0	1.4661	undef	7347.0	0	Pseudomonadota	7347.0	0	Burkholderiales	7347.0	0	Alcaligenaceae	7347.0	0	Bordetella	7347.0	0	Bordetella bronchiseptica	5882.0	1
NODE_69_length_788_cov_0.750378	788	0.7386	0	1.1982	undef	7280.0	0	Pseudomonadota	7280.0	0	Burkholderiales	7280.0	0	Alcaligenaceae	7280.0	0	Bordetella	7280.0	0	Bordetella parapertussis	4368.0	1
NODE_70_length_787_cov_1.503030	787	0.6353	0	2.3994	undef	7270.0	0	Pseudomonadota	7270.0	0	Pseudomonadales	7270.0	0	Pseudomonadaceae	7270.0	0	Pseudomonas	7270.0	0	Pseudomonas aeruginosa	7270.0	0
NODE_71_length_787_cov_0.883333	787	0.6684	0	1.7995	undef	6985.0	0	Pseudomonadota	6985.0	0	Pseudomonadales	6985.0	0	Pseudomonadaceae	6985.0	0	Pseudomonas	6985.0	0	Pseudomonas aeruginosa	6985.0	0
NODE_72_length_781_cov_1.137615	781	0.6812	0	1.8133	undef	7215.0	0	Pseudomonadota	7215.0	0	Pseudomonadales	7215.0	0	Pseudomonadaceae	7215.0	0	Pseudomonas	7215.0	0	Pseudomonas aeruginosa	7215.0	0
NODE_73_length_772_cov_1.097674	772	0.6671	0	1.8345	undef	7105.0	0	Pseudomonadota	7105.0	0	Pseudomonadales	7105.0	0	Pseudomonadaceae	7105.0	0	Pseudomonas	7105.0	0	Pseudomonas aeruginosa	7105.0	0
NODE_74_length_764_cov_0.872841	764	0.7435	0	2.4716	undef	6530.0	0	Pseudomonadota	6530.0	0	Pseudomonadales	6530.0	0	Pseudomonadaceae	6530.0	0	Pseudomonas	6530.0	0	Pseudomonas aeruginosa	6530.0	0
NODE_75_length_762_cov_0.737008	762	0.6785	0	1.239	undef	6845.0	0	Pseudomonadota	6845.0	0	Pseudomonadales	6845.0	0	Pseudomonadaceae	6845.0	0	Pseudomonas	6845.0	0	Pseudomonas aeruginosa	6845.0	0
NODE_76_length_758_cov_231.110935	758	0.5303	0	482.3508	undef	7000.0	0	Pseudomonadota	7000.0	0	Enterobacterales	7000.0	0	Enterobacteriaceae	7000.0	0	Escherichia	7000.0	0	Escherichia coli	7000.0	0
NODE_77_length_757_cov_1.377778	757	0.6658	0	2.4945	undef	6965.0	0	Pseudomonadota	6965.0	0	Pseudomonadales	6965.0	0	Pseudomonadaceae	6965.0	0	Pseudomonas	6965.0	0	Pseudomonas aeruginosa	6965.0	0
NODE_78_length_753_cov_0.706070	753	0.6693	0	1.5673	undef	6900.0	0	Pseudomonadota	6900.0	0	Pseudomonadales	6900.0	0	Pseudomonadaceae	6900.0	0	Pseudomonas	6900.0	0	Pseudomonas aeruginosa	6900.0	0
NODE_79_length_751_cov_0.674679	751	0.5752	0	1.2572	undef	6635.0	0	Pseudomonadota	6635.0	0	Enterobacterales	6635.0	0	Enterobacteriaceae	6635.0	0	Escherichia	6635.0	0	Escherichia coli	6635.0	0
NODE_80_length_742_cov_0.626016	742	0.6846	0	1.9087	undef	5835.0	0	Pseudomonadota	5835.0	0	Pseudomonadales	5835.0	0	Pseudomonadaceae	5835.0	0	Pseudomonas	5835.0	0	Pseudomonas aeruginosa	5835.0	0
NODE_81_length_741_cov_1.413681	741	0.6802	0	2.2298	undef	6845.0	0	Pseudomonadota	6845.0	0	Pseudomonadales	6845.0	0	Pseudomonadaceae	6845.0	0	Pseudomonas	6845.0	0	Pseudomonas aeruginosa	6845.0	0
NODE_82_length_741_cov_1.185668	741	0.6761	0	1.9112	undef	6705.0	0	Pseudomonadota	6705.0	0	Pseudomonadales	6705.0	0	Pseudomonadaceae	6705.0	0	Pseudomonas	6705.0	0	Pseudomonas aeruginosa	6705.0	0
NODE_83_length_741_cov_0.895765	741	0.6883	0	1.9112	undef	6845.0	0	Pseudomonadota	6845.0	0	Pseudomonadales	6845.0	0	Pseudomonadaceae	6845.0	0	Pseudomonas	6845.0	0	Pseudomonas aeruginosa	6845.0	0
NODE_84_length_740_cov_0.809135	740	0.6689	0	1.2759	undef	6780.0	0	Pseudomonadota	6780.0	0	Pseudomonadales	6780.0	0	Pseudomonadaceae	6780.0	0	Pseudomonas	6780.0	0	Pseudomonas aeruginosa	6780.0	0
NODE_85_length_733_cov_0.818482	733	0.6412	0	1.2881	undef	6770.0	0	Pseudomonadota	6770.0	0	Pseudomonadales	6770.0	0	Pseudomonadaceae	6770.0	0	Pseudomonas	6770.0	0	Pseudomonas aeruginosa	6770.0	0
NODE_86_length_731_cov_316.228477	731	0.5882	0	650.6366	undef	6755.0	0	Pseudomonadota	6755.0	0	Enterobacterales	6755.0	0	Enterobacteriaceae	6755.0	0	Escherichia	5404.0	1	Escherichia coli	5404.0	1
NODE_87_length_731_cov_0.783113	731	0.7031	0	1.9374	undef	6695.0	0	Pseudomonadota	6695.0	0	Pseudomonadales	6695.0	0	Pseudomonadaceae	6695.0	0	Pseudomonas	6695.0	0	Pseudomonas aeruginosa	6695.0	0
NODE_88_length_727_cov_0.775000	727	0.7111	0	1.2987	undef	6920.0	0	Pseudomonadota	6920.0	0	Burkholderiales	6920.0	0	Alcaligenaceae	6920.0	0	Bordetella	6920.0	0	Bordetella parapertussis	4152.0	1
NODE_89_length_726_cov_1.242070	726	0.6006	0	1.9507	undef	6705.0	0	Pseudomonadota	6705.0	0	Pseudomonadales	6705.0	0	Pseudomonadaceae	6705.0	0	Pseudomonas	6705.0	0	Pseudomonas aeruginosa	6705.0	0
NODE_90_length_725_cov_0.586957	725	0.4759	0	1.9534	undef	6422.0	0	Pseudomonadota	6422.0	0	Enterobacterales	6422.0	0	Enterobacteriaceae	6422.0	0	Escherichia	6422.0	0	Escherichia coli	3863.0	1
NODE_91_length_723_cov_1.018456	723	0.6777	0	2.2853	undef	6680.0	0	Pseudomonadota	6680.0	0	Pseudomonadales	6680.0	0	Pseudomonadaceae	6680.0	0	Pseudomonas	6680.0	0	Pseudomonas aeruginosa	6680.0	0
NODE_92_length_719_cov_297.983108	719	0.5438	0	624.0711	undef	6640.0	0	Pseudomonadota	6640.0	0	Enterobacterales	6640.0	0	Enterobacteriaceae	6640.0	0	Escherichia	6640.0	0	Escherichia coli	6640.0	0
NODE_93_length_719_cov_0.837838	719	0.6008	0	1.3131	undef	6640.0	0	Pseudomonadota	6640.0	0	Pseudomonadales	6640.0	0	Pseudomonadaceae	6640.0	0	Pseudomonas	6640.0	0	Pseudomonas aeruginosa	6640.0	0
NODE_94_length_718_cov_1.001692	718	0.6727	0	3.2874	undef	5135.0	0	Pseudomonadota	5135.0	0	Pseudomonadales	5135.0	0	Pseudomonadaceae	5135.0	0	Pseudomonas	5135.0	0	Pseudomonas aeruginosa	5135.0	0
NODE_95_length_711_cov_166.517123	711	0.5373	0	322.684	undef	6570.0	0	Pseudomonadota	6570.0	0	Enterobacterales	6570.0	0	Enterobacteriaceae	6570.0	0	Escherichia	6570.0	0	Escherichia coli	6570.0	0
NODE_96_length_711_cov_0.727740	711	0.6442	0	1.3279	undef	6540.0	0	Pseudomonadota	6540.0	0	Pseudomonadales	6540.0	0	Pseudomonadaceae	6540.0	0	Pseudomonas	6540.0	0	Pseudomonas aeruginosa	6540.0	0
NODE_97_length_710_cov_1.276158	710	0.738	0	1.9947	undef	6560.0	0	Pseudomonadota	6560.0	0	Pseudomonadales	6560.0	0	Pseudomonadaceae	6560.0	0	Pseudomonas	6560.0	0	Pseudomonas aeruginosa	6560.0	0
NODE_98_length_709_cov_0.831615	709	0.7038	0	2.6633	undef	6440.0	0	Pseudomonadota	6440.0	0	Pseudomonadales	6440.0	0	Pseudomonadaceae	6440.0	0	Pseudomonas	6440.0	0	Pseudomonas aeruginosa	6440.0	0
NODE_99_length_707_cov_299.627586	707	0.505	0	618.9722	undef	6530.0	0	Pseudomonadota	6530.0	0	Enterobacterales	6530.0	0	Enterobacteriaceae	6530.0	0	Escherichia	3918.0	2	Escherichia coli	3918.0	2
NODE_100_length_703_cov_0.736111	703	0.6657	0	1.343	undef	6700.0	0	Pseudomonadota	6700.0	0	Pseudomonadales	6700.0	0	Pseudomonadaceae	6700.0	0	Pseudomonas	6700.0	0	Pseudomonas aeruginosa	6700.0	0
NODE_101_length_702_cov_1.029565	702	0.3219	0	2.0174	undef	6386.0	0	Pseudomonadota	6386.0	0	Enterobacterales	6386.0	0	Enterobacteriaceae	6386.0	0	Escherichia	6386.0	0	Escherichia coli	6386.0	0
NODE_102_length_696_cov_0.797891	696	0.7069	0	2.3739	undef	6430.0	0	Pseudomonadota	6430.0	0	Burkholderiales	6430.0	0	Alcaligenaceae	6430.0	0	Bordetella	6430.0	0	Bordetella bronchiseptica	6430.0	0
NODE_103_length_695_cov_0.873239	695	0.6576	0	1.3585	undef	6420.0	0	Pseudomonadota	6420.0	0	Pseudomonadales	6420.0	0	Pseudomonadaceae	6420.0	0	Pseudomonas	6420.0	0	Pseudomonas aeruginosa	6420.0	0
NODE_104_length_694_cov_1.312169	694	0.6585	0	2.0407	undef	6410.0	0	Pseudomonadota	6410.0	0	Pseudomonadales	6410.0	0	Pseudomonadaceae	6410.0	0	Pseudomonas	6410.0	0	Pseudomonas aeruginosa	6410.0	0
